Source.Name;TRATTA_ID;ENTE;TIPO_PERMESSO;STATO_PERMESSO;DATA_RICHIESTA;DATA_ULTIMA_MODIFICA;DATA_APPROVAZIONE;NULLA OSTA NECESSARIO;ORDINANZA NECESSARIA;CONVENZIONE;POLIZZA ;NOTE;LUNGHEZZA;PRATICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lotto 1B.xlsx;TR_0224;COMUNE DI SETTIMO MILANESE;AUTORIZZAZIONE;IN FIRMA RDS;;27/02/2026;;;;;;;136,27;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lotto 1B.xlsx;TR_0224;COMUNE DI SETTIMO MILANESE;AUTORIZZAZIONE;INVIATO;03/03/2026;03/03/2026;;;;;;;136,27;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lotto 1B.xlsx;TR_0224;COMUNE DI SETTIMO MILANESE;AUTORIZZAZIONE;PROTOCOLLATO;;05/03/2026;;;;;;;136,27;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lotto 1B.xlsx;TR_0382;COMUNE DI SETTIMO MILANESE;AUTORIZZAZIONE;IN REDAZIONE;;23/02/2026;;NO;SI;;;;1843,53;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lotto 1B.xlsx;TR_0382;COMUNE DI SETTIMO MILANESE;AUTORIZZAZIONE;IN FIRMA RDS;;27/02/2026;;;;;;;1843,53;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lotto 1B.xlsx;TR_0382;COMUNE DI SETTIMO MILANESE;AUTORIZZAZIONE;INVIATO;03/03/2026;03/03/2026;;;;;;;1843,53;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lotto 1B.xlsx;TR_0382;COMUNE DI SETTIMO MILANESE;AUTORIZZAZIONE;PROTOCOLLATO;;05/03/2026;;;;;;;1843,53;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lotto 1B.xlsx;TR_0481;COMUNE DI PERO;AUTORIZZAZIONE;IN REDAZIONE;;23/02/2026;;NO;SI;;;;1562,69;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lotto 1B.xlsx;TR_0481;COMUNE DI PERO;AUTORIZZAZIONE;IN FIRMA RDS;;03/03/2026;;NO;;;;;1562,69;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lotto 1B.xlsx;TR_0481;COMUNE DI PERO;AUTORIZZAZIONE;INVIATO;;13/03/2026;;NO;;;;;1562,69;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lotto 1B.xlsx;TR_0481;COMUNE DI PERO;AUTORIZZAZIONE;PROTOCOLLATO;;13/03/2026;;NO;;;;Prot.4515;1562,69;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
